,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
49,θεασάμενος,θεάομαι,"θεάομαι, θεάομαι, observe, watch (verb); θεάομαι, watch, gaze at (verb) (3b (= 2dG))",qeasa/menos,  aorist middle participle masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
50,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
51,ἄνθρωπον,ἄνθρωπος,"ἄνθρωπος, ἄνθρωπος, ἀνθρώπου, ὁ, human",a)/nqrwpon,  common accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
52,εἶναι,εἰμί,"εἰμί, εἰμί, ἔσομαι, ΧΧΧ, ΧΧΧ, ΧΧΧ, ΧΧΧ, be",ei)=nai,  present active infinitive,1,Aesop's Fables,The Monkey and the Dolphin
53,"ὑπολαβών,",ὑπολαμβάνω,"ὑπολαμβάνω, ὑπολαμβάνω, take up; understand, interpret; assume; reply, rejoin","u(polabw/n,","  aorist active participle masculine nominative singular,  aorist active participle masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
54,ὑπελθὼν,ὑπέρχομαι,"ὑπέρχομαι, to go or come under; creep up, sneak in",u(pelqw\n,"  aorist active participle masculine nominative singular,  aorist active participle masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
55,ἀνεῖχε,ἀνέχω,"ἀνέχω, ἀνέχω, hold up; (intrans.) rise up; (mid.) bear up, endure, put up with (+ part.)",a)nei=xe, imperfect active indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
56,διακομίζων,διακομίζω,"διακομίζω, to carry over",diakomi/zwn," present middle-passive indicative 2nd singular,  present active indicative 3rd singular",1,Aesop's Fables,The Monkey and the Dolphin
57,ἐπὶ,ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)pi\,"  preposition,   adverb (e.g., tmesis)",1,Aesop's Fables,The Monkey and the Dolphin
58,τὴν,ὁ,"ὁ, ὁ, the [definite article]",th\n,  definite article feminine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
59,χέρσον.,χέρσος,"χέρσος, dry land, land",xe/rson.,  feminine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
60,Ὡς,ὡς,"ὡς, ὡς, in order that",*(ws,"  conjunction,  adverb,   adverb,  preposition",1,Aesop's Fables,The Monkey and the Dolphin
61,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Monkey and the Dolphin
62,κατὰ,κατά,"κατά, κατά, down from, under, against (+ gen); according to, throughout (+ acc.)",kata\,"  preposition,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
63,τὸν,ὁ,"ὁ, ὁ, the [definite article]",to\n,  definite article masculine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
64,Πειραιᾶ,Πειραιεύς,"Πειραιεύς, Peiraeus",*peiraia=,  Proper-name noun masculine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
65,"ἐγένετο,",γίγνομαι,"γίγνομαι, γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ΧΧΧ, be born; become; happen","e)ge/neto,",  aorist middle indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
66,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
67,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Monkey and the Dolphin
68,Ἀθηναίων,Ἀθήναια,"Ἀθήναια, Panathenaia",*)aqhnai/wn, Proper-name noun neuter genitive plural,1,Aesop's Fables,The Monkey and the Dolphin
69,"ἐπίνειον,",ἐπίνειον,"ἐπίνειον, sea-port, state harbor","e)pi/neion,","  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
70,ἐπυνθάνετο,πυνθάνομαι,"πυνθάνομαι, πυνθάνομαι, πεύσομαι, ἐπυθόμην, ΧΧΧ, πέπυσμαι, ΧΧΧ, inquire, learn by inquiry",e)punqa/neto,  imperfect middle indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
