,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
124,Τοῦ,ὁ,"ὁ, ὁ, the [definite article]",*tou=,"  definite article masculine genitive singular,  definite article neuter genitive singular",1,Aesop's Fables,The Fox and the Goat
125,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Fox and the Goat
126,τράγου,τράγος,"τράγος, a he-goat",tra/gou,  masculine genitive singular,1,Aesop's Fables,The Fox and the Goat
127,μεμφομένου,μέμφομαι,"μέμφομαι, μέμφομαι, blame, criticise, find fault with (verb)",memfome/nou," present middle participle masculine genitive singular,  present middle participle neuter genitive singular",1,Aesop's Fables,The Fox and the Goat
128,αὐτὴν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)th\n,"  personal pronoun feminine accusative singular,   feminine accusative singular",1,Aesop's Fables,The Fox and the Goat
129,ὡς,ὡς,"ὡς, ὡς, in order that",w(s,"  conjunction,   adverb,   adverb,   preposition",1,Aesop's Fables,The Fox and the Goat
130,τὰς,ὁ,"ὁ, ὁ, the [definite article]",ta\s,  definite article feminine accusative plural,1,Aesop's Fables,The Fox and the Goat
131,ὁμολογίας,ὁμολογία,"ὁμολογία, agreement",o(mologi/as,"  feminine accusative plural,   feminine genitive singular",1,Aesop's Fables,The Fox and the Goat
132,"ἀθετήσασαν,",ἀθετέω,"ἀθετέω, to set aside","a)qeth/sasan,"," aorist active participle feminine nominative singular,  aorist active participle feminine vocative singular",1,Aesop's Fables,The Fox and the Goat
133,ἐπιστραφεῖσα,ἐπιστρέφω,"ἐπιστρέφω, to turn about, turn round",e)pistrafei=sa, aorist passive optative 3rd plural,1,Aesop's Fables,The Fox and the Goat
134,εἶπε,λέγω,"λέγω, λέγω, ἐρέω or λέξω, εἶπον or ἔλεξα, εἴρηκα, εἴρημαι or λέλεγμαι, ἐλέχθην or ἐρρήθην, say, speak",ei)=pe,"  aorist active indicative 3rd singular,  aorist active imperative 2nd singular (NCA)",1,Aesop's Fables,The Fox and the Goat
135,τῷ,ὁ,"ὁ, ὁ, the [definite article]",tw=|,"  definite article masculine dative singular,   definite article neuter dative singular",1,Aesop's Fables,The Fox and the Goat
